crop_size,color_space,blur_method,bilateral_d,gaussian_ksize,use_clahe,polarity_margin,accuracy
22,hsv,bilateral,9,3,True,0.3,0.194400
26,hsv,gaussian,5,3,False,0.2,0.193600
26,hsv,none,5,3,False,0.2,0.193400
22,lab,bilateral,9,3,True,0.2,0.193400
32,hsv,none,5,3,False,0.2,0.193200
18,lab,gaussian,5,5,True,0.2,0.193000
18,gray,gaussian,5,5,True,0.3,0.192800
18,gray,gaussian,5,3,True,0.2,0.192800
26,hsv,gaussian,5,5,False,0.3,0.192800
18,hsv,gaussian,5,3,True,0.2,0.192600
26,hsv,none,5,3,False,0.3,0.192200
22,hsv,bilateral,9,3,True,0.2,0.192000
26,hsv,none,5,3,False,0.1,0.191600
22,lab,bilateral,5,3,True,0.1,0.191400
22,gray,none,5,3,True,0.1,0.191400
26,hsv,bilateral,5,3,False,0.3,0.190800
22,lab,bilateral,9,3,True,0.3,0.190000
22,hsv,none,5,3,True,0.1,0.189800
26,lab,gaussian,5,3,False,0.3,0.189400
18,lab,gaussian,5,3,True,0.3,0.189200
26,hsv,gaussian,5,5,False,0.2,0.188800
32,hsv,gaussian,5,3,False,0.3,0.188600
22,hsv,bilateral,5,3,True,0.1,0.188600
26,lab,gaussian,5,3,False,0.2,0.188600
32,hsv,none,5,3,False,0.3,0.188600
18,lab,bilateral,5,3,True,0.2,0.188600
32,lab,bilateral,5,3,False,0.3,0.188400
26,hsv,gaussian,5,3,False,0.1,0.188400
18,gray,gaussian,5,3,True,0.3,0.188400
32,lab,bilateral,9,3,False,0.3,0.188400
26,lab,none,5,3,False,0.1,0.188200
18,gray,bilateral,5,3,True,0.2,0.187800
22,lab,none,5,3,True,0.1,0.187600
18,gray,bilateral,5,3,True,0.3,0.187400
18,hsv,gaussian,5,3,True,0.3,0.187400
26,hsv,bilateral,9,3,False,0.3,0.187000
32,lab,none,5,3,False,0.3,0.187000
32,hsv,bilateral,5,3,False,0.2,0.186600
32,hsv,gaussian,5,3,False,0.2,0.186600
22,gray,bilateral,9,3,True,0.1,0.186400
26,lab,gaussian,5,5,False,0.3,0.186400
32,hsv,bilateral,5,3,False,0.3,0.186400
22,lab,bilateral,9,3,True,0.1,0.186000
18,gray,gaussian,5,3,True,0.1,0.186000
18,gray,gaussian,5,5,True,0.1,0.185800
18,lab,gaussian,5,3,True,0.2,0.185800
26,gray,none,5,3,False,0.1,0.185600
26,lab,gaussian,5,5,False,0.2,0.185400
26,lab,bilateral,9,3,False,0.3,0.185000
26,hsv,bilateral,5,3,False,0.2,0.185000
